Productnaam,Toepassing,Omschrijving,Gangpad,Plank,Sectie,Categorie,Merk,Afmetingen,Specifieke Eigenschappen
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,8,Midden-laag,B,Leidingen,Gardena,4x40mm,Gegalvaniseerd
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,3,Midden-laag,D,Bevestiging,Bosch,20 meter,Gegalvaniseerd
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,7,Ooghoogte,A,Bevestiging,Fischer,4x40mm,Roestbestendig
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,4,Laag,A,Verlichting,Gamma,7W,Energiebesparend
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,8,Laag,A,Hout,Tiger,2440x1220,Snel droog
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,1,Ooghoogte,C,Sanitair,Bosch,5x50mm,Schimmelwerend
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",4,Midden-laag,A,Hout,Stanley,18V,Energiebesparend
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",5,Midden-laag,A,Verf,Bosch,18V,Weerbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Midden-laag,A,Bevestiging,Tesa,4x40mm,Waterdicht
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,9,Midden-laag,D,Bevestiging,Gamma,Ø50mm,Snel droog
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",3,Ooghoogte,C,Verf,Tiger,4x40mm,Vochtbestendig
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,4,Laag,D,Bevestiging,Gardena,20 meter,Gegalvaniseerd
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",4,Hoog,D,Leidingen,Philips,300ml,Roestbestendig
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,6,Laag,B,Gereedschap,Tesa,300ml,Inclusief accu
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",7,Hoog,A,Verlichting,Gamma,Ø15mm,Gegalvaniseerd
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,3,Ooghoogte,A,Bevestiging,Gamma,Ø50mm,Gegalvaniseerd
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",6,Midden-laag,B,Bevestiging,Makita,5x50mm,Inclusief accu
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,5,Laag,A,Sanitair,Gardena,Ø15mm,Roestbestendig
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,5,Ooghoogte,B,Tuinartikelen,Tiger,18V,Gegalvaniseerd
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",7,Midden-laag,D,Verlichting,Philips,Ø50mm,Snel droog
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,5,Laag,A,Bevestiging,Tiger,Ø50mm,Snel droog
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",7,Laag,B,Hout,Makita,Ø50mm,Weerbestendig
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",6,Midden-laag,C,Tuinartikelen,Gamma,2440x1220,Snel droog
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,5,Midden-laag,C,Hout,Black & Decker,30mm,Waterdicht
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,2,Midden-laag,A,Leidingen,Stanley,300ml,Inclusief accu
Kruiskop schroeven,Bevestigen in hout,"Gegalvaniseerde schroeven voor houtconstructies, kruiskop",3,Midden-laag,C,Verf,Black & Decker,Ø50mm,Snel droog
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",6,Midden-laag,A,Bevestiging,Philips,4x40mm,Gegalvaniseerd
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,8,Laag,C,Hout,Makita,2440x1220,Roestbestendig
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",7,Laag,B,Tuinartikelen,Philips,20 meter,Gegalvaniseerd
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,10,Laag,D,Bevestiging,Fischer,5x50mm,Snel droog
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,1,Laag,C,Bevestiging,Black & Decker,Ø15mm,Weerbestendig
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,2,Ooghoogte,C,Gereedschap,Black & Decker,5x50mm,Vochtbestendig
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",5,Hoog,D,Tuinartikelen,Gardena,7W,Inclusief accu
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,4,Midden-laag,C,Hout,Philips,20 meter,Inclusief accu
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,6,Ooghoogte,B,Tuinartikelen,Philips,7W,Warm licht
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,7,Laag,A,Vloerbedekking,Gardena,30mm,Weerbestendig
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,7,Laag,C,Leidingen,Black & Decker,Ø15mm,Gegalvaniseerd
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",8,Hoog,B,Vloerbedekking,Makita,4x40mm,Waterdicht
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,8,Ooghoogte,A,Leidingen,Stanley,20 meter,Weerbestendig
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,3,Hoog,D,Bevestiging,Black & Decker,30mm,Inclusief accu
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,6,Hoog,A,Tuinartikelen,Makita,20 meter,Energiebesparend
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,2,Ooghoogte,D,Gereedschap,Bosch,Ø50mm,Waterdicht
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,7,Laag,C,Vloerbedekking,Tiger,300ml,Schimmelwerend
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",9,Hoog,D,Verlichting,Tesa,7W,Energiebesparend
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",5,Laag,D,Leidingen,Gamma,2440x1220,Warm licht
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",8,Ooghoogte,C,Sanitair,Stanley,30mm,Snel droog
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",5,Hoog,A,Bevestiging,Fischer,7W,Snel droog
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,4,Hoog,A,Vloerbedekking,Makita,4x40mm,Snel droog
Verfroller,Schilderen,Grote verfroller met comfortabele grip,2,Ooghoogte,B,Gereedschap,Black & Decker,30mm,Warm licht
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",10,Hoog,A,Gereedschap,Makita,Ø50mm,Vochtbestendig
Verfroller,Schilderen,Grote verfroller met comfortabele grip,10,Ooghoogte,B,Verf,Gardena,2440x1220,Roestbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",7,Ooghoogte,C,Sanitair,Fischer,20 meter,Warm licht
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,7,Laag,D,Gereedschap,Makita,20 meter,Snel droog
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",7,Laag,B,Sanitair,Gardena,5x50mm,Inclusief accu
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",6,Ooghoogte,B,Vloerbedekking,Bosch,7W,Inclusief accu
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,3,Hoog,C,Vloerbedekking,Makita,Ø15mm,Vochtbestendig
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,10,Ooghoogte,A,Verf,Bosch,300ml,Weerbestendig
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",7,Midden-laag,D,Bevestiging,Gamma,18V,Schimmelwerend
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",7,Ooghoogte,A,Verlichting,Tesa,7W,Vochtbestendig
Verfroller,Schilderen,Grote verfroller met comfortabele grip,5,Hoog,A,Verf,Philips,5x50mm,Warm licht
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",5,Midden-laag,B,Bevestiging,Philips,20 meter,Inclusief accu
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Ooghoogte,D,Sanitair,Philips,20 meter,Roestbestendig
